t, x, y
0, 200, 200
10, 199.02777777777777, 201.44444444444446
20, 199.44399999999987, 200.31199999999998
30, 199.82056451612894, 200.13911290322594
40, 199.9301397205588, 199.97804391217565
50, 199.89065606361822, 199.71968190854864
60, 199.942, 199.42
70, 199.74302788844625, 199.2888446215139
80, 199.85628742514956, 199.31337325349307
90, 199.6526946107784, 199.48502994011977
100, 199.74850299401203, 199.5588822355291
110, 199.6465863453816, 199.8875502008032
120, 199.53876739562637, 199.8807157057653
130, 199.75848303393218, 200.01197604790406
140, 200.07599999999985, 200.0339999999998
150, 200.47400000000007, 199.89599999999993
160, 200.7624750499005, 199.9540918163673
170, 201.29880478087648, 200.06972111553787
180, 201.7314629258516, 200.39278557114238
190, 202.062, 200.7379999999998
200, 202.51399999999992, 200.988
210, 203.02794411177658, 201.15369261477045
220, 203.24000000000004, 201.30400000000012
230, 203.40518962075853, 201.59081836327357
240, 203.47904191616746, 202.22155688622772
250, 203.46107784431138, 202.83632734530948
260, 203.59400000000002, 203.4779999999999
270, 203.35800000000006, 203.84
280, 203.38877755511007, 204.7855711422847
290, 203.11599999999996, 205.4079999999998
300, 202.7699999999999, 206.58599999999993
310, 202.39321357285436, 207.81037924151696
320, 201.98400000000015, 209.39000000000013
330, 201.866, 210.54600000000002
340, 202.19361277445103, 211.38722554890208
350, 202.2067594433401, 212.58449304174937
360, 201.98003992015967, 213.62475049900192
370, 201.4191616766468, 214.7025948103793
380, 201.08383233532922, 215.7524950099799
390, 200.92629482071712, 216.9123505976095
400, 200.5369261477045, 217.6506986027943
410, 200.49700598802386, 218.77045908183638
420, 200.497005988024, 219.5009980039921
430, 200.47105788423147, 220.42514970059872
440, 200.40239043824693, 221.01992031872518
450, 200.396, 221.59199999999987
460, 200.53400000000013, 222.8320000000002
470, 199.86254980079684, 223.63147410358567
480, 199.60320641282553, 225.08416833667343
490, 199.29740518962095, 226.00798403193608
500, 199.01394422310744, 226.70517928286856
510, 198.72908366533852, 227.69521912350586
520, 198.40199999999993, 228.58200000000014
530, 198.28942115768461, 229.21756487025968
540, 198.12524850894636, 229.86878727634192
550, 197.94610778443095, 231.00598802395217
560, 197.53187250996004, 231.58565737051777
570, 197.40718562874247, 232.54291417165666
580, 197.55, 233.57199999999992
590, 197.27290836653387, 234.2171314741037
600, 197.31736526946113, 235.23952095808392
610, 197.44599999999986, 236.27200000000005
620, 197.61122244489, 237.1623246492987
630, 197.7330677290835, 238.4262948207173
640, 197.9021956087825, 239.56487025948093
650, 197.83233532934128, 240.56686626746531
660, 197.7025948103792, 241.66866267465065
670, 197.3055555555556, 242.93452380952368
680, 196.53692614770452, 243.94011976047895
690, 195.90000000000006, 244.96799999999996
700, 195.3273453093814, 245.80039920159678
710, 194.87649402390437, 246.37649402390457
720, 194.7589641434263, 247.47609561753
730, 194.6952191235062, 248.21115537848607
740, 194.37250996015942, 249.0796812749003
750, 194.34999999999994, 249.77600000000027
760, 194.39000000000013, 250.556
770, 194.22754491017963, 251.40119760479047
780, 194.54800000000003, 252.37200000000004
790, 194.80079681274918, 253.61553784860564
800, 194.5160000000002, 254.5999999999999
810, 194.63672654690606, 255.25149700598803
820, 194.26746506986046, 256.23353293413163
830, 194.31274900398415, 257.2011952191239
840, 194.08167330677304, 258.13346613545843
850, 193.45816733067713, 258.8027888446214
860, 193.013916500994, 259.5626242544732
870, 192.67065868263475, 260.25748502994014
880, 192.34268537074155, 260.7414829659319
890, 192.13373253493015, 261.18562874251495
900, 191.54780876494036, 261.58764940239024
910, 191.20440881763517, 261.69939879759545
920, 190.57400000000004, 261.72599999999983
930, 190.1497005988024, 262.35928143712584
940, 189.57256461232603, 263.23658051689836
950, 189.47400000000013, 263.7940000000001
960, 188.99201596806395, 264.56886227544913
970, 188.36381709741562, 265.1272365805169
980, 188.14200000000005, 265.6760000000003
990, 187.79600000000005, 266.7639999999999
1000, 187.3007968127491, 267.6175298804782
1010, 186.88023952095807, 268.63273453093836
1020, 186.65199999999976, 269.51600000000025
1030, 186.56374501992033, 270.1713147410358
1040, 186.09599999999998, 271.15
1050, 185.74400000000009, 271.8460000000003
1060, 185.56287425149705, 272.9800399201594
1070, 185.03799999999998, 273.6839999999999
1080, 184.78599999999994, 274.41400000000027
1090, 184.56686626746495, 275.4790419161678
1100, 184.09199999999993, 276.134
1110, 183.86282306163008, 276.6282306163024
1120, 183.6506986027944, 277.53293413173634
1130, 183.30200000000025, 278.4000000000001
1140, 183.09400000000008, 279.2940000000002
1150, 183.27544910179665, 280.54291417165643
1160, 183.3446893787576, 281.6492985971944
1170, 182.90438247011923, 282.2111553784859
1180, 182.74251497005997, 283.017964071856
1190, 182.4171656686625, 283.8323353293414
1200, 182.17131474103599, 284.48406374501985
1210, 181.7908366533867, 284.84063745019915
1220, 181.17400000000018, 285.70799999999974
1230, 180.824, 286.5079999999998
1240, 180.5320000000001, 287.0300000000004
1250, 180.19600000000005, 287.46199999999993
1260, 179.5511022044088, 288.38677354709426
1270, 179.5440000000001, 288.83
1280, 179.02799999999996, 289.50199999999984
1290, 178.908, 289.89400000000006
1300, 178.46092184368726, 290.34268537074126
1310, 178.0816733067729, 290.92629482071726
1320, 177.7325349301398, 291.7205588822359
1330, 177.1516966067865, 292.73852295409176
1340, 176.50894632206763, 293.7137176938368
1350, 175.98007968127473, 294.90637450199216
1360, 175.27655310621256, 295.2765531062126
1370, 174.64940239043833, 295.83266932270914
1380, 173.91217564870252, 296.1497005988023
1390, 173.47704590818378, 296.67265469061863
1400, 173.07385229540924, 296.99001996008013
1410, 172.60756972111548, 297.38844621513994
1420, 172.060120240481, 297.8276553106211
1430, 171.62199999999999, 298.01399999999984
1440, 170.78243512974058, 298.4011976047907
1450, 170.062, 298.79199999999986
1460, 169.3260000000001, 299.16599999999994
1470, 168.41000000000005, 299.3620000000002
1480, 167.4701195219124, 299.6195219123508
1490, 166.67600000000007, 300.11000000000024
1500, 166.19199999999998, 300.78399999999993
1510, 165.04990019960084, 301.5728542914171
1520, 164.39720558882223, 302.0339321357282
1530, 163.4630738522955, 302.5249500998003
1540, 162.36726546906192, 303.101796407185
1550, 161.96806387225536, 303.7025948103793
1560, 161.16733067729072, 304.61553784860547
1570, 160.69860279441133, 305.4131736526946
1580, 159.87250996015936, 305.91434262948184
1590, 159.37274549098203, 306.59118236472966
1600, 158.98003992015953, 307.5449101796406
1610, 158.35458167330677, 308.44422310756994
1620, 157.53493013972061, 309.27744510978044
1630, 156.83166332665348, 310.06212424849707
1640, 156.30019880715707, 310.8011928429425
1650, 156.19800000000015, 311.63599999999974
1660, 155.99600798403185, 312.56487025948087
1670, 155.76599999999993, 313.0539999999997
1680, 155.53507014028042, 313.370741482966
1690, 155.5110220440882, 313.6072144288575
1700, 155.366, 314.25799999999964
1710, 155.31600000000003, 315.10999999999996
1720, 154.93200000000004, 316.32200000000006
1730, 154.11399999999995, 317.47000000000025
1740, 153.6626746506985, 318.3612774451098
1750, 153.39200000000002, 319.0399999999998
1760, 152.77999999999986, 319.952
1770, 152.39243027888458, 320.689243027888
1780, 151.949899799599, 321.65931863727445
1790, 151.43399999999986, 322.43200000000024
1800, 151.18072289156655, 323.49598393574297
1810, 150.88023952095824, 324.1057884231536
1820, 150.45708582834325, 324.9381237524954
1830, 150.22908366533852, 325.82669322709137
1840, 149.884, 326.4799999999999
1850, 149.0638722554889, 327.3173652694611
1860, 148.16400000000033, 328.6359999999996
