t, x, y
0, 200, 200.25
10, 202.13793103448268, 199.9137931034482
20, 202.76718403547667, 199.27272727272725
30, 202.70259481037917, 199.2774451097805
40, 202.81000000000003, 199.1399999999999
50, 202.58283433133735, 199.0918163672654
60, 202.1457085828343, 199.27345309381226
70, 202.10778443113773, 199.34730538922176
80, 202.0080160320642, 199.45290581162322
90, 201.95591182364717, 199.61523046092182
100, 201.824351297405, 199.47305389221555
110, 201.79759519038058, 199.50701402805612
120, 202.12974051896194, 200.07385229540915
130, 201.97600000000017, 200.47199999999987
140, 202.12749003984055, 200.92031872509952
150, 202.61847389558233, 201.39357429718868
160, 202.87799999999996, 201.72999999999985
170, 203.14399999999986, 202.09800000000018
180, 203.238, 202.4160000000001
190, 203.38877755511032, 202.7515030060121
200, 203.69399999999996, 202.90399999999994
210, 203.85229540918172, 203.4950099800399
220, 203.73947895791594, 203.6693386773548
230, 203.624750499002, 204.07385229540913
240, 203.49999999999997, 204.35199999999995
250, 203.38844621513948, 204.48605577689244
260, 203.45490981963923, 204.84368737474958
270, 203.09399999999985, 205.17600000000002
280, 203.06613226452902, 205.39278557114213
290, 203.01399999999995, 205.49000000000007
300, 203.1497005988025, 205.62674650698602
310, 203.33000000000015, 205.88999999999987
320, 203.142, 206.41599999999997
330, 203.3393574297188, 206.941767068273
340, 203.43200000000002, 207.60200000000012
350, 203.22355289421162, 207.50299401197637
360, 203.1419999999999, 207.81199999999993
370, 202.59600000000003, 208.04000000000008
380, 202.07584830339326, 208.44910179640726
390, 201.78443113772465, 208.89021956087822
400, 201.54690618762464, 209.16167664670658
410, 201.77800000000022, 209.46200000000005
420, 201.56224899598402, 209.656626506024
430, 201.53707414829645, 209.9058116232465
440, 201.51896207584846, 209.85429141716565
450, 201.5210420841684, 209.8036072144289
460, 201.1720000000001, 209.64200000000008
470, 201.16465863453806, 209.738955823293
480, 201.1916167664669, 209.9580838323354
490, 200.93200000000002, 210.06
500, 200.37000000000012, 210.24400000000014
510, 199.7260000000002, 210.29400000000004
520, 199.51497005988014, 210.1676646706587
530, 199.63326653306623, 210.4188376753507
540, 199.5421686746987, 210.6887550200802
550, 199.63727454909835, 210.84969939879733
560, 199.60521042084156, 211.10821643286567
570, 199.26907630522092, 211.78112449799204
580, 199.43113772455087, 212.11377245508987
590, 199.6187624750501, 212.7085828343315
600, 199.23200000000003, 212.89600000000002
610, 198.96407185628746, 213.70658682634718
620, 199.128, 214.1620000000001
630, 198.926147704591, 214.70459081836316
640, 199.11354581673314, 215.73705179282868
650, 199.22554890219553, 216.3173652694611
660, 199.35528942115775, 216.75049900199605
670, 199.20000000000013, 217.2539999999998
680, 198.62475049900198, 217.6447105788423
690, 198.39121756487003, 218.29341317365265
700, 197.95009980039907, 218.7844311377246
710, 197.72545090180358, 219.11422845691368
720, 197.28685258964146, 219.37649402390454
730, 196.72199999999992, 219.88200000000006
740, 196.4417670682732, 220.2891566265059
750, 196.5480000000001, 220.51
760, 196.19361277445103, 220.57684630738535
770, 195.38877755511038, 220.8276553106214
780, 195.03379721669967, 221.2027833001987
790, 194.87999999999977, 221.37399999999997
800, 194.64600000000016, 221.42200000000014
810, 194.3500000000001, 221.49599999999984
820, 194.24599999999995, 221.424
830, 193.80761523046104, 221.29859719438878
840, 193.87425149700604, 221.2335329341318
850, 194.16000000000014, 221.02800000000013
860, 194.4068136272546, 220.93987975951896
870, 194.4214711729623, 220.8508946322067
880, 194.37474949899783, 220.79759519038078
890, 194.51400000000012, 220.81799999999978
900, 194.73547094188376, 220.77354709418836
910, 194.96392785571146, 221.12024048096183
920, 194.6207584830339, 221.6267465069861
930, 194.64056224899616, 221.88955823293165
940, 194.47294589178352, 221.70941883767532
950, 194.4819277108433, 221.70883534136559
960, 194.47494989979973, 221.5831663326653
970, 194.54599999999996, 221.3
980, 194.38922155688635, 220.83233532934122
990, 194.39520958083853, 220.80638722554883
1000, 194.1680000000001, 220.8439999999999
1010, 194.23599999999996, 221.0499999999999
1020, 194.31124497991968, 221.4518072289156
1030, 194.4819277108435, 221.66064257028108
1040, 194.80239520958102, 221.81237524950112
1050, 194.63599999999988, 222.09799999999996
1060, 194.64200000000002, 221.95599999999996
1070, 194.39121756487023, 221.72854291417158
1080, 194.79241516966056, 222.057884231537
1090, 194.87374749499014, 222.26252505010032
1100, 195.19399999999993, 222.268
1110, 195.66400000000004, 222.2419999999998
1120, 196.25697211155378, 222.04780876494024
1130, 196.35799999999992, 222.30599999999998
1140, 196.53600000000014, 222.1260000000001
1150, 196.83132530120474, 222.28714859437753
1160, 197.09999999999997, 222.264
1170, 197.39520958083844, 222.51696606786416
1180, 197.58717434869746, 222.83366733466946
1190, 198.1000000000001, 222.93599999999995
1200, 198.3739999999999, 223.11600000000016
1210, 198.61200000000008, 223.14600000000002
1220, 199.20600000000005, 223.41199999999995
1230, 199.19000000000005, 223.40799999999987
1240, 199.2115768463073, 223.63473053892216
1250, 199.44288577154293, 223.79559118236477
1260, 199.64729458917856, 223.95190380761514
1270, 200.07615230460922, 224.27855711422833
1280, 200.40799999999993, 224.4420000000002
1290, 200.75150300601183, 224.86573146292588
1300, 201.31399999999996, 225.12400000000002
1310, 201.44710578842313, 225.33532934131733
1320, 201.828, 225.65400000000002
1330, 202.17964071856287, 225.93013972055877
1340, 202.26546906187622, 226.31337325349307
1350, 202.46693386773538, 226.128256513026
1360, 202.15400000000014, 226.07200000000003
1370, 202.33333333333331, 226.65261044176714
1380, 202.372, 226.73400000000012
1390, 202.68399999999983, 227.05199999999988
1400, 202.48200000000006, 227.45999999999998
1410, 202.61244979919695, 227.92168674698792
1420, 202.4629258517036, 228.32665330661328
1430, 202.4909819639277, 228.92785571142295
1440, 202.57485029940125, 229.41117764471042
1450, 202.88023952095796, 230.13373253493012
1460, 202.87799999999987, 230.75199999999998
1470, 202.95009980039927, 231.4570858283433
1480, 202.9125248508945, 232.27435387673933
1490, 203.1437125748504, 232.63672654690612
1500, 203.1623246492985, 233.08817635270546
1510, 203.05200000000005, 233.33
1520, 203.1022044088175, 233.63527054108212
1530, 202.88423153692622, 233.73852295409185
1540, 202.87599999999986, 233.8699999999999
1550, 203.17399999999992, 233.18200000000002
1560, 202.8902195608784, 232.92415169660683
1570, 203.2660000000001, 232.76600000000002
1580, 203.54108216432869, 232.5430861723448
1590, 203.91983967935872, 232.7755511022044
1600, 204.13000000000002, 232.39000000000007
1610, 204.24750499002005, 232.512974051896
1620, 203.8955823293173, 232.40763052208837
1630, 204.08599999999996, 232.24199999999996
1640, 203.9221556886227, 232.319361277445
1650, 203.84400000000014, 232.69600000000023
1660, 203.60200000000006, 232.612
1670, 204.14799999999994, 233.11800000000005
1680, 204.63872255489028, 233.36726546906172
1690, 204.82164328657316, 233.25851703406815
1700, 205.41599999999994, 233.54600000000005
1710, 205.86773547094182, 233.7154308617234
1720, 206.21000000000012, 233.86000000000007
1730, 206.59318637274546, 234.10220440881773
1740, 207.0759999999999, 234.33600000000007
1750, 207.2409638554219, 234.3052208835342
1760, 207.45290581162325, 234.3386773547093
1770, 207.33667334669346, 234.06012024048118
1780, 207.64658634538145, 233.91566265060237
1790, 207.91017964071855, 233.83832335329345
1800, 208.02994011976043, 233.57684630738515
1810, 208.39641434262947, 233.66932270916325
1820, 208.5010020040082, 233.53907815631263
1830, 208.9101796407186, 233.28542914171658
1840, 209.2459999999999, 233.01199999999983
1850, 209.40280561122262, 233.32064128256494
1860, 209.52495009980038, 233.28343313373273
1870, 209.1876247504989, 233.0199600798403
1880, 209.2819999999999, 233.06400000000008
1890, 208.99799999999996, 233.1000000000002
1900, 209.13052208835353, 233.4698795180722
1910, 209.00199600798402, 233.41716566866265
1920, 209.12024048096202, 233.26452905811635
1930, 209.4108216432866, 233.04809619238483
1940, 209.02399999999994, 233.0939999999999
1950, 208.74400000000026, 233.384
1960, 208.75751503005998, 233.56112224448907
1970, 208.72434607645854, 233.92354124748508
1980, 208.58083832335342, 234.08982035928136
1990, 208.664658634538, 234.08232931726917
2000, 208.7675350701402, 234.25050100200414
2010, 209.3694779116467, 234.04819277108422
2020, 210.03, 234.67799999999988
2030, 210.67265469061874, 234.99001996007985
2040, 210.92785571142284, 235.33066132264523
2050, 210.99196787148597, 235.3192771084337
2060, 211.0980000000001, 235.32199999999978
2070, 210.98200000000023, 235.36800000000002
2080, 210.7560000000001, 235.444
2090, 210.7334669338678, 234.94789579158314
2100, 210.7835671342686, 234.83967935871755
2110, 210.64729458917836, 234.65731462925854
2120, 210.36399999999986, 234.4820000000001
2130, 210.51999999999995, 234.30799999999994
2140, 210.30399999999997, 234.17600000000002
2150, 210.30460921843678, 234.18436873747513
2160, 210.2064128256512, 234.18837675350684
2170, 210.07, 234.13599999999988
2180, 210.30339321357286, 234.19361277445103
2190, 210.42000000000002, 234.21999999999994
2200, 210.6115537848606, 234.16932270916337
2210, 210.85799999999986, 234.11800000000002
2220, 210.97205588822348, 234.07584830339323
2230, 211.2475049900202, 234.04191616766468
2240, 211.3232931726909, 234.56626506024094
2250, 211.45783132530119, 234.8112449799197
2260, 211.3540000000001, 234.59600000000012
2270, 211.36746987951807, 234.893574297189
2280, 211.50701402805626, 234.88977955911844
2290, 211.61077844311345, 235.26746506986038
2300, 211.46706586826346, 235.47105788423153
2310, 211.62124248497, 235.90180360721453
2320, 212.1963927855714, 236.4188376753506
2330, 212.48393574297197, 236.84337349397586
2340, 212.90200000000007, 236.81000000000003
2350, 213.0398406374501, 237.21314741035857
2360, 213.50800000000004, 237.37799999999993
2370, 213.4749498997997, 237.62925851703397
2380, 213.87323943661957, 237.9577464788729
2390, 214.1202404809619, 238.23246492985976
2400, 214.244, 238.6600000000001
2410, 214.69539078156325, 238.67535070140283
2420, 214.97405189620758, 238.49301397205588
2430, 215.1900000000001, 238.9940000000001
2440, 215.37800000000004, 239.348
2450, 215.5863453815263, 239.78313253012055
2460, 215.70399999999998, 239.8999999999999
2470, 215.84738955823298, 240.55020080321285
2480, 216.0299999999999, 240.69399999999996
2490, 216.08634538152603, 240.82530120481923
2500, 216.20600000000002, 241.2840000000003
2510, 215.9138276553107, 242.02004008016058
2520, 215.98400000000007, 242.63800000000006
2530, 215.557114228457, 243.09619238476955
2540, 215.23705179282877, 243.58167330677296
2550, 214.64128256513027, 243.82765531062137
2560, 214.23505976095598, 243.6693227091632
2570, 213.6919999999999, 243.82600000000005
2580, 213.33466135458158, 244.02788844621517
2590, 212.726, 244.41800000000015
2600, 212.1760000000001, 244.95
2610, 211.93213572854276, 245.41117764471065
2620, 211.89378757515038, 245.63527054108224
2630, 211.76399999999998, 245.992
2640, 211.62650602409647, 246.06425702811237
2650, 211.9098196392786, 245.65931863727442
2660, 212.11599999999993, 245.94399999999987
2670, 212.65931863727454, 245.67935871743492
2680, 213.02208835341366, 245.74096385542163
2690, 213.31736526946094, 245.72255489021958
2700, 213.50501002003998, 245.74148296593174
2710, 213.84031936127744, 245.58882235528944
2720, 213.94789579158316, 245.6052104208416
2730, 214.36800000000014, 245.69599999999986
2740, 214.59199999999993, 245.70799999999997
2750, 214.93612774451103, 245.71656686626727
2760, 215.23046092184362, 245.90180360721473
2770, 215.616, 246.208
2780, 216.0718562874252, 246.31736526946105
2790, 215.89820359281433, 246.80239520958085
2800, 216.29681274900392, 246.9521912350596
2810, 216.48697394789593, 247.2304609218438
2820, 215.88955823293176, 247.57831325301194
2830, 215.86400000000006, 247.92199999999997
2840, 216.25250501002006, 248.5170340681363
2850, 216.13827655310612, 248.67134268537075
2860, 216.45600000000013, 248.8859999999998
2870, 216.48800000000008, 249.188
2880, 216.35129740518974, 249.2375249500997
2890, 216.21800000000002, 249.336
2900, 216.16766467065875, 249.36726546906195
2910, 216.10179640718547, 249.72654690618774
2920, 216.17635270541078, 249.98597194388785
2930, 216.1723446893788, 250.34669338677367
2940, 216.30260521042078, 250.488977955912
2950, 216.26853707414833, 250.61523046092208
2960, 216.38000000000002, 250.99
2970, 216.09199999999993, 250.89399999999983
2980, 215.92614770459065, 250.91816367265457
2990, 215.59318637274552, 251.13627254509007
3000, 215.44088176352705, 251.2965931863727
3010, 215.626746506986, 251.9820359281438
3020, 215.61277445109806, 252.22954091816374
3030, 215.49000000000024, 252.20200000000028
3040, 215.08982035928153, 252.4770459081837
3050, 214.41000000000003, 252.76799999999994
3060, 214.0399201596806, 252.88023952095793
3070, 213.6120000000001, 253.07599999999996
