t, x, y
0, 200.5, 199.5
10, 200.70786516853929, 198.91011235955048
20, 201.15776081424943, 199.18829516539432
30, 201.59126984127, 199.19444444444446
40, 201.13916500994026, 198.87673956262415
50, 200.57256461232615, 198.81510934393654
60, 199.99801192842935, 198.55666003976148
70, 199.64880952380952, 198.6349206349206
80, 199.09960159362566, 199.00597609561757
90, 198.36327345309374, 199.29341317365248
100, 197.59919839679364, 199.49899799599194
110, 197.18562874251498, 199.87624750499003
120, 196.43000000000006, 200.09199999999993
130, 195.8230616302187, 200.2365805168987
140, 194.79681274900386, 200.35258964143418
150, 193.47305389221563, 200.53892215568862
160, 192.58882235528944, 200.41516966067866
170, 191.96414342629492, 200.36852589641435
180, 191.37524950099817, 200.30339321357295
190, 190.62999999999988, 200.30399999999997
200, 190.2290836653388, 200.13745019920327
210, 189.58999999999978, 199.966
220, 188.6155378486056, 199.53784860557764
230, 187.59154929577466, 199.30985915492957
240, 186.27290836653387, 199.05577689243017
250, 185.132, 198.884
260, 183.75600000000009, 198.332
270, 182.47410358565756, 198.52191235059772
280, 181.4690618762473, 198.42914171656673
290, 180.33999999999986, 198.53799999999998
300, 179.3180000000001, 198.79200000000017
310, 178.46812749003973, 199.05378486055767
320, 177.64328657314627, 199.43687374749496
330, 176.91832669322716, 199.7569721115535
340, 176.06573705179292, 200.5557768924303
350, 174.91799999999984, 200.90599999999986
360, 173.95009980039927, 201.13772455089824
370, 172.58449304174962, 200.90854870775343
380, 171.56200000000004, 200.70400000000012
390, 170.56287425149688, 200.42315369261453
400, 169.4681274900398, 200.50796812749005
410, 168.55268389662032, 199.71968190854872
420, 167.79799999999997, 199.12400000000005
430, 167.13745019920333, 199.08366533864546
440, 166.57085828343313, 198.64870259481037
450, 165.70541082164328, 198.25050100200397
460, 164.9999999999999, 197.63727454909807
470, 164.50597609561743, 197.51195219123525
480, 163.87624750498998, 197.1357285429141
490, 162.67460317460325, 196.6289682539686
500, 161.76400000000007, 196.25000000000009
510, 160.3764940239044, 196.07171314741035
