t, x, y
0, 200, 200
10, 202.08556149732615, 198.77540106951878
20, 202.36257309941516, 198.51461988304112
30, 202.800731261426, 198.38756855575892
40, 202.97769516728644, 198.3605947955392
50, 203.76037735849064, 197.95471698113187
60, 204.2684310018903, 196.79017013232522
70, 204.7159309021115, 194.38771593090206
80, 206.0689655172414, 192.39272030651355
90, 207.97705544933075, 190.04588910133842
100, 209.60115606936424, 188.68015414258187
110, 211.1138519924099, 187.4838709677418
120, 212.75378787878822, 186.13068181818187
130, 214.32325141776923, 184.72967863894146
140, 215.93726235741448, 183.14258555133057
150, 217.80380952380958, 181.02285714285705
160, 219.5169172932332, 178.97744360902254
170, 221.11509433962283, 177.72264150943386
180, 221.81628787878802, 176.58712121212133
190, 223.3237547892721, 175.3659003831417
200, 225.17110266159693, 173.80228136882124
210, 227.1692015209126, 172.56083650190132
220, 228.4299242424241, 171.87689393939397
230, 229.36641221374035, 171.1641221374045
240, 230.1548757170173, 170.25239005736123
250, 230.82567049808443, 169.323754789272
260, 231.43023255813955, 168.36046511627913
270, 231.8923076923076, 167.08269230769235
280, 232.77307692307687, 165.84615384615384
290, 233.64147286821716, 165.13759689922458
300, 234.6352941176472, 164.95490196078418
310, 235.55378486055773, 164.97410358565747
320, 235.94799999999995, 165.03800000000024
330, 235.99800399201612, 165.2375249500999
340, 236.13999999999984, 165.52400000000006
350, 236.23200000000008, 165.88
360, 236.73000000000005, 166.5060000000001
370, 236.74096385542168, 166.93373493975895
380, 236.6147704590819, 167.07584830339337
390, 236.48902195608787, 167.44710578842307
400, 236.16432865731466, 167.5811623246492
410, 236.38399999999996, 167.518
420, 236.14800000000008, 167.724
430, 235.98400000000007, 167.61199999999997
440, 235.52304609218433, 167.31462925851704
450, 234.70799999999994, 167.32600000000005
460, 233.05555555555557, 167.86904761904762
470, 231.09090909090912, 168.9584980237155
480, 229.49904030710175, 170.5028790786948
490, 227.48717948717945, 172.47337278106517
500, 226.18992248061994, 174.7228682170543
510, 225.48659003831403, 177.20306513409983
520, 225.16666666666669, 178.94444444444449
530, 225.465909090909, 180.22348484848482
540, 225.6692160611855, 181.47992351816436
550, 226.20342205323203, 182.47338403041815
560, 227.0174081237911, 183.80851063829812
570, 228.1017612524462, 185.32876712328755
580, 229.2134387351778, 186.5079051383399
590, 229.7848605577689, 187.51394422310753
600, 230.44399999999996, 188.1580000000001
610, 230.60721442885787, 188.35070140280538
620, 230.90581162324662, 188.59519038076164
630, 231.05611222444915, 188.5751503006012
640, 231.07584830339306, 188.38123752494997
650, 231.15230460921848, 188.32665330661325
660, 230.89000000000004, 187.7740000000001
670, 230.6500000000002, 187.5819999999999
680, 230.2299999999999, 186.76999999999998
690, 229.7689243027887, 185.41035856573697
700, 229.47222222222217, 183.61706349206352
710, 229.05068226120872, 181.28265107212482
720, 228.98217821782194, 179.11089108910866
730, 228.845703125, 176.73242187499991
740, 228.34637964774956, 174.47553816046988
750, 227.68068833652006, 172.17973231357564
760, 227.53076923076935, 169.9519230769229
770, 227.11174242424224, 167.82575757575773
780, 226.3584905660377, 165.43584905660393
790, 225.45075757575762, 163.34090909090915
800, 224.73055028463008, 161.50284629981022
810, 224.46892655367228, 159.96421845574406
820, 224.32196969696975, 158.54166666666669
830, 224.71755725190832, 156.6030534351146
840, 225.81818181818164, 154.81249999999991
850, 226.37121212121227, 153.05113636363652
860, 226.45627376425864, 151.14448669201528
870, 225.76136363636374, 149.528409090909
880, 225.17803030303034, 148.30681818181804
890, 225.4168260038241, 147.02103250478007
900, 226.1117424242423, 146.05871212121193
910, 227.44128787878785, 144.71401515151524
920, 228.72296015180274, 143.20872865275126
930, 229.28709055876686, 141.73988439306348
940, 229.88527724665383, 140.3518164435947
950, 230.32437619961613, 139.44529750479836
960, 230.93155893536118, 138.09505703422073
970, 231.2217898832685, 136.875486381323
980, 231.71566731141198, 135.3771760154739
990, 232.4418145956607, 134.04930966469408
1000, 232.8665338645419, 132.65737051792843
1010, 233.63095238095227, 131.66468253968247
1020, 234.18199999999996, 130.83599999999984
1030, 234.54909819639283, 130.42484969939872
1040, 234.6779999999999, 130.02600000000004
1050, 235.05811623246495, 129.8597194388779
1060, 235.17835671342684, 129.87174348697403
1070, 235.18962075848282, 129.83832335329348
1080, 235.31800000000004, 129.78600000000003
1090, 235.04199999999975, 129.91400000000007
1100, 234.58366533864535, 129.90438247011946
1110, 234.14800000000002, 129.86600000000013
1120, 233.50299401197603, 129.56487025948107
1130, 232.08617234468946, 129.4929859719437
1140, 230.938123752495, 129.2914171656685
1150, 229.56746031746022, 129.6666666666666
1160, 228.17131474103576, 130.02788844621514
1170, 226.04873294346976, 130.30409356725124
1180, 224.08918406072132, 131.01518026565464
1190, 221.9413988657845, 131.49527410207938
1200, 220.19540229885055, 131.8409961685824
1210, 217.9962264150943, 132.009433962264
1220, 215.9847619047618, 132.3104761904761
1230, 213.3568702290077, 132.9293893129771
1240, 211.18164435946468, 133.52963671128106
1250, 209.4136622390892, 133.94497153700215
1260, 208.1068702290077, 134.18893129770998
1270, 206.92557251908383, 134.26526717557252
1280, 205.94696969696966, 134.5814393939395
1290, 205.0248091603055, 135.06870229007612
1300, 203.80038387715956, 135.41650671785038
1310, 201.8088803088803, 135.87451737451735
1320, 199.53422053231935, 137.1558935361216
1330, 197.38519924098662, 137.7931688804554
1340, 195.1311787072244, 138.39923954372634
