t, x, y
0, 200, 200
10, 200.66000000000005, 199.37000000000003
20, 200.27777777777763, 200.3212560386475
30, 199.9521912350597, 200.41832669322702
40, 199.97804391217576, 200.7964071856289
50, 199.9602385685885, 200.70974155069592
60, 200.10978043912186, 200.80239520958074
70, 200.52999999999992, 200.66799999999972
80, 200.86826347305376, 201.09980039920148
90, 201.57485029940142, 200.95009980039922
100, 201.4442231075697, 200.6812749003984
110, 201.96200000000007, 200.41799999999992
120, 202.73453093812384, 200.3273453093812
130, 203.70178926441346, 200.01789264413532
140, 204.49400000000014, 199.40999999999997
150, 205.5080000000001, 198.9500000000001
160, 206.06199999999993, 198.43
170, 206.73600000000016, 197.94400000000002
180, 207.187624750499, 197.42315369261473
190, 207.85458167330694, 197.14541832669315
200, 208.26494023904388, 196.4123505976094
210, 208.66999999999993, 195.86200000000002
220, 208.97405189620775, 195.14970059880238
230, 209.07784431137742, 194.8542914171658
240, 209.1397205588823, 194.03992015968092
250, 209.23647294589173, 193.48496993987987
260, 209.57, 192.28199999999995
270, 209.29681274900386, 191.51992031872496
280, 209.47305389221552, 190.77844311377257
290, 209.88423153692614, 190.22754491017966
300, 209.95190380761522, 189.83967935871752
310, 209.62624254473172, 189.41749502982108
320, 209.5836653386455, 189.22509960159354
330, 209.64999999999998, 188.75
340, 209.48600000000022, 188.12199999999996
350, 209.6519999999999, 187.49199999999985
360, 209.43286573146278, 186.98997995992005
370, 209.17964071856284, 186.42315369261487
380, 209.09819639278575, 185.6813627254509
390, 209.18962075848307, 185.40918163672657
400, 209.36200000000008, 184.81399999999982
410, 209.94211576846308, 184.2435129740521
420, 210.14829659318627, 183.71743486973944
430, 210.29341317365257, 183.21157684630734
440, 211.02794411177635, 182.63073852295415
450, 211.2825651302604, 182.13627254509004
460, 211.57314629258522, 181.55711422845704
470, 212.332, 180.6639999999999
480, 212.4280000000002, 180.144
490, 213.31462925851704, 179.54709418837675
500, 214.1024096385544, 179.06425702811254
510, 214.57915831663337, 178.83366733466954
520, 215.01603206412824, 178.31262525050076
530, 215.26800000000006, 178.07200000000014
540, 215.61600000000007, 177.82200000000003
550, 215.54890219560892, 178.03592814371228
560, 215.74200000000005, 178.16599999999974
570, 216.20481927710844, 178.22690763052202
580, 216.2540000000002, 178.50600000000003
590, 216.2179999999999, 179.03600000000014
600, 216.27544910179654, 180.02994011976045
610, 216.39121756487043, 180.7085828343312
620, 216.64870259481054, 180.98602794411173
630, 216.85429141716548, 181.55888223552896
640, 217.07400000000024, 181.70800000000008
650, 217.16432865731463, 182.53106212424842
660, 217.7590361445782, 183.12449799196787
670, 218.12000000000003, 183.70399999999995
680, 218.69400000000007, 184.24600000000004
690, 219.23752495009992, 184.88622754491007
700, 219.90599999999995, 184.91800000000006
710, 220.62425447316105, 185.37574552683898
720, 221.18725099601573, 185.85657370517927
730, 221.5979999999999, 186.4360000000003
740, 221.79599999999994, 186.48600000000005
750, 222.17635270541078, 186.36072144288553
760, 222.63727454909835, 186.5170340681361
770, 223.07414829659334, 186.8597194388779
780, 223.77091633466154, 186.91235059760947
790, 223.83832335329345, 186.7864271457085
800, 224.30599999999993, 186.62200000000007
810, 224.69138276553096, 186.5350701402804
820, 225.0778443113772, 186.38123752495002
830, 225.28343313373242, 186.23552894211556
840, 224.96599999999987, 185.916
850, 224.97400000000007, 185.53
860, 225.16966067864288, 185.34530938123743
870, 225.14199999999985, 185.25400000000005
880, 225.21285140562253, 185.18875502008035
890, 225.2705410821643, 184.8937875751502
900, 225.41399999999987, 184.59000000000006
910, 225.8409542743537, 184.51093439363822
920, 226.12224448897797, 184.2665330661323
930, 226.972111553785, 183.44023904382462
940, 228.01799999999972, 182.79799999999983
950, 228.7875751503008, 182.1683366733467
960, 229.58599999999996, 181.45799999999997
970, 229.9720558882236, 180.56087824351292
980, 230.38200000000003, 179.76000000000008
990, 231.02008032128515, 179.25903614457835
1000, 231.36200000000017, 178.67999999999992
