t, x, y
0, 200.5, 200
10, 200.04666666666668, 200.38666666666677
20, 200.58798283261797, 199.80901287553644
30, 200.40357852882715, 199.675944333996
40, 200.1354581673306, 199.57569721115544
50, 200.14342629482053, 199.54780876494007
60, 199.81836327345317, 199.21756487025962
70, 199.76247504990042, 198.58882235528938
80, 199.68799999999996, 198.2200000000001
90, 199.644, 197.59200000000013
100, 199.79200000000003, 197.44600000000003
110, 199.8446215139441, 196.80278884462138
120, 199.88777555110212, 195.83366733466914
130, 199.29141716566863, 195.34331337325364
140, 198.92800000000005, 194.65999999999997
150, 197.83767535070157, 193.95390781563128
160, 197.33600000000013, 193.6800000000001
170, 196.44799999999995, 193.42600000000013
180, 195.38323353293424, 192.98203592814374
190, 194.3366733466934, 192.6733466933866
200, 193.4530938123754, 192.45708582834325
210, 192.67199999999997, 192.19000000000003
220, 191.73053892215566, 192.38123752495005
230, 190.89820359281433, 192.50698602794384
240, 189.93400000000017, 192.79400000000004
250, 188.9680638722556, 193.11377245508982
260, 187.54308617234466, 193.63126252505015
270, 186.56999999999988, 194.44000000000005
280, 185.61999999999992, 195.12800000000007
290, 184.08964143426294, 195.81474103585654
300, 182.94632206759437, 196.40357852882715
310, 182.1417165668664, 196.7824351297405
320, 181.58600000000007, 197.54600000000013
330, 180.75150300601203, 198.0440881763529
340, 179.5819999999999, 198.47000000000008
350, 178.89199999999997, 198.84800000000004
360, 178.84431137724573, 199.19960079840317
370, 178.35270541082173, 199.47494989979967
380, 178.1182364729459, 199.68336673346684
390, 177.5349301397206, 200.0219560878244
400, 176.9161676646707, 200.57884231536917
410, 176.22509960159366, 201.21115537848598
420, 175.88844621513928, 201.54183266932264
430, 175.55421686746996, 202.15863453815237
440, 174.82200000000012, 202.75599999999986
450, 174.55, 203.00400000000008
460, 174.13199999999995, 203.55200000000005
470, 173.5620000000001, 204.178
480, 173.0298210735589, 204.71172962226643
490, 172.37051792828677, 205.25099601593612
500, 172.0721442885772, 205.6613226452905
510, 171.65531062124245, 205.89779559118247
520, 171.24, 205.87000000000003
530, 171.17434869739483, 205.70741482965937
540, 170.75000000000009, 205.70200000000008
550, 170.20599999999993, 205.61
560, 170.0920000000003, 205.08200000000008
570, 169.66135458167335, 204.39442231075682
580, 169.00199600798393, 203.7245508982034
590, 168.3960000000001, 202.6320000000003
600, 167.99399999999997, 202.0479999999999
610, 167.47800000000026, 201.50799999999995
620, 167.13200000000003, 201.13000000000002
630, 166.71999999999989, 200.90400000000005
640, 166.31337325349295, 200.4510978043912
650, 166.39043824701207, 200.03784860557775
660, 165.97791164658622, 199.2208835341365
670, 165.51799999999994, 198.64199999999994
680, 165.23904382470133, 198.40039840637456
690, 164.73399999999998, 198.05600000000007
700, 163.95582329317276, 197.71084337349416
710, 163.30799999999985, 197.37599999999995
720, 162.73000000000008, 196.98400000000012
730, 162.21485943775104, 196.85542168674678
740, 161.72055888223554, 196.72654690618762
750, 161.35270541082176, 196.55711422845684
760, 160.6180000000002, 195.984
770, 160.04408817635263, 195.37474949899791
780, 159.48406374502002, 194.85258964143424
790, 159.1195219123506, 193.97410358565725
800, 158.81963927855733, 193.3486973947896
810, 158.88329979879276, 192.8893360160965
820, 159.21442885771543, 192.3106212424847
830, 159.14199999999994, 191.56600000000003
840, 159.35329341317362, 191.11177644710568
850, 159.53999999999996, 190.3620000000001
860, 160.02195608782438, 189.96806387225553
870, 160.8502994011975, 189.60079840319338
880, 161.50796812749007, 189.2091633466135
890, 162.30400000000012, 188.72799999999992
900, 163.17892644135205, 188.4035785288271
910, 163.73493975903614, 188.06024096385568
920, 164.52095808383226, 187.88223552894235
930, 165.18599999999986, 187.42800000000003
940, 165.8537074148297, 187.49899799599186
950, 166.40599999999998, 187.47600000000014
960, 167.58200000000005, 187.238
970, 168.73800000000006, 186.68199999999996
980, 169.40681362725456, 186.38677354709415
990, 170.40119760479058, 186.17165668662687
1000, 170.49003984063756, 185.71115537848604
1010, 170.59800000000013, 185.506
1020, 170.79441117764483, 185.59281437125742
1030, 171.04599999999996, 185.33
1040, 171.08199999999994, 184.92399999999998
1050, 170.98203592814363, 184.62075848303388
1060, 170.95600000000016, 184.31400000000014
1070, 170.93812375249493, 184.47704590818356
1080, 170.8665338645417, 184.52788844621526
1090, 171.1696606786427, 184.60678642714575
1100, 171.14600000000013, 185.09400000000008
1110, 171.50901803607212, 185.5551102204408
1120, 171.5119521912351, 186.3466135458168
1130, 171.472837022133, 186.8591549295775
1140, 171.53892215568894, 187.44510978043922
1150, 171.52295409181622, 187.89421157684635
1160, 171.52200000000002, 188.378
1170, 171.52104208416824, 188.39078156312627
1180, 171.5040000000001, 188.46400000000008
1190, 171.72599999999997, 188.6060000000001
1200, 171.89421157684617, 188.67864271457097
1210, 172.00400801603197, 188.46492985971946
1220, 172.07600000000014, 188.3740000000001
1230, 171.95190380761525, 188.40881763527062
1240, 171.90200000000007, 187.95200000000003
1250, 171.95991983967946, 187.70941883767537
1260, 171.91164658634546, 187.7991967871485
1270, 172.00796812749016, 187.784860557769
1280, 172.07831325301203, 187.71686746987962
1290, 171.9179999999999, 187.572
1300, 171.8293172690763, 187.3835341365461
1310, 171.73000000000008, 186.9320000000001
1320, 171.30460921843658, 186.2705410821641
1330, 171.3932135728542, 185.33532934131725
1340, 170.794, 184.122
1350, 170.53984063745025, 183.04581673306765
1360, 170.6132264529057, 182.22244488977958
1370, 170.08383233532945, 181.07584830339314
1380, 169.72945891783584, 180.08416833667332
1390, 169.69322709163333, 178.8924302788846
1400, 169.2999999999999, 178.08400000000006
1410, 168.83466135458147, 176.80677290836627
1420, 168.83233532934142, 175.64670658682653
1430, 168.5971943887775, 174.73947895791585
1440, 168.2184368737474, 173.82765531062114
1450, 168.0179640718564, 172.93812375249507
1460, 167.81199999999964, 171.52199999999988
1470, 168.22444889779555, 170.63527054108226
1480, 168.6302186878728, 170.09145129224657
1490, 168.4939999999999, 169.74
1500, 168.1497005988025, 168.9201596806387
1510, 167.75399999999988, 167.97000000000003
1520, 167.52295409181625, 167.60878243512968
1530, 167.30339321357272, 167.47504990019954
1540, 167.11999999999992, 167.22999999999996
1550, 166.9438877755511, 167.22645290581175
1560, 166.73253493013976, 166.99600798403202
1570, 166.84860557768934, 166.6334661354579
1580, 166.4710578842315, 166.11576846307386
1590, 166.48799999999994, 165.93000000000012
1600, 166.488, 165.55199999999988
1610, 166.4340000000001, 165.18799999999996
1620, 166.52788844621512, 164.43227091633474
1630, 166.8844621513944, 163.79681274900395
1640, 167.28742514970062, 162.75249500998012
1650, 167.19839679358725, 161.51302605210418
1660, 167.32534930139713, 160.65868263473052
1670, 167.56799999999998, 159.39600000000002
1680, 167.70459081836324, 158.0499001996007
1690, 167.80600000000013, 156.788
1700, 167.918326693227, 155.86254980079673
1710, 167.82400000000015, 154.66800000000012
1720, 167.8207171314742, 153.46015936254972
1730, 167.9161676646706, 152.2714570858284
1740, 167.9579158316632, 151.48096192384767
1750, 167.98203592814374, 150.52295409181642
1760, 168.011952191235, 149.4083665338645
1770, 168.14970059880227, 148.73852295409168
1780, 167.82634730538922, 147.98003992015964
1790, 167.57915831663337, 146.9158316633266
1800, 167.45891783567149, 146.41082164328677
1810, 167.716, 145.5320000000001
1820, 167.75249500998, 145.12774451097798
1830, 167.8940000000003, 144.65399999999988
1840, 167.9381237524949, 143.89021956087825
1850, 168.71800000000007, 142.9640000000001
1860, 169.022, 141.7359999999999
1870, 169.47200000000018, 141.18600000000006
1880, 169.69000000000003, 139.93400000000008
1890, 169.75600000000003, 138.87000000000003
1900, 169.31262525050107, 138.09018036072135
1910, 169.15369261477045, 136.9101796407186
1920, 169.02200000000002, 135.90999999999977
1930, 169.02805611222445, 135.1943887775551
1940, 169.03799999999998, 134.58399999999997
1950, 168.91164658634528, 133.91967871485951
1960, 169.1916167664671, 133.38522954091823
1970, 169.3213572854291, 132.80039920159675
